chrName	start.pos	fin.pos	gene	geneName
NC_068449.1	24.652125	24.705709	LOC118362565	reticulon-1-A-like
NC_068449.1	24.715043	24.717058	LOC118362569	uncharacterized LOC118362569
NC_068449.1	24.737444	24.748467	LOC118362570	pecanex-like protein 4
NC_068449.1	24.771673	24.794534	LOC118362571	protein phosphatase 1A
NC_068449.1	24.827174	24.832417	LOC118362573	homeobox protein SIX6
NC_068449.1	24.853479	24.857698	LOC118362574	homeobox protein six1b
NC_068449.1	24.863549	24.872105	LOC118362575	homeobox protein SIX4-like
NC_068449.1	24.954577	24.957367	LOC118362576	tRNA (guanine(37)-N1)-methyltransferase-like
NC_068449.1	24.957389	24.995682	LOC118362577	uncharacterized LOC118362577
NC_068449.1	25.009894	25.047562	LOC118362578	protein kinase C eta type-like
NC_068449.1	25.052121	25.074317	LOC118362580	hypoxia-inducible factor 1-alpha
NC_068449.1	25.069314	25.072339	LOC118362581	uncharacterized LOC118362581
NC_068449.1	25.076136	25.08343	snapc1b	small nuclear RNA activating complex%2C polypeptide 1b
NC_068449.1	25.084421	25.108049	syt16	synaptotagmin XVI
NC_068449.1	25.108648	25.112385	LOC118362584	uncharacterized LOC118362584
NC_068449.1	25.112877	25.128607	LOC118362585	sphingosine-1-phosphate phosphatase 1-like
NC_068449.1	25.164403	25.198422	ppp2r5eb	protein phosphatase 2%2C regulatory subunit B'%2C epsilon isoform b
NC_068449.1	25.17099	25.174071	LOC118362588	uncharacterized LOC118362588
NC_068449.1	25.203881	25.30326	kcnh5b	potassium voltage-gated channel%2C subfamily H (eag-related)%2C member 5b
NC_068449.1	25.30986	25.452074	syne2b	spectrin repeat containing%2C nuclear envelope 2b
NC_068449.1	25.451985	25.483494	LOC118362590	estrogen receptor beta
NC_068449.1	25.554129	25.581471	LOC118362592	protein jagged-2-like
NC_068449.1	25.604709	25.606495	LOC118362046	uncharacterized LOC118362046
NC_068449.1	25.662813	25.712891	LOC118362594	transcription factor IIIB 90 kDa subunit-like
NC_068449.1	25.696401	25.699606	LOC118362593	BTB/POZ domain-containing protein 6-B-like
NC_068449.1	25.715968	25.723831	LOC118362596	zinc finger FYVE domain-containing protein 21-like
NC_068449.1	25.730373	25.764408	LOC118362597	kinesin light chain 1-like
NC_068449.1	25.765297	25.773802	LOC118362603	cytochrome c oxidase assembly factor 8
NC_068449.1	25.774018	25.792058	bag5	BCL2 associated athanogene 5
NC_068449.1	25.814236	25.825247	ckba	creatine kinase%2C brain a
NC_068449.1	25.825316	25.85813	LOC118362598	MAP/microtubule affinity-regulating kinase 3-like
NC_068449.1	25.859295	25.866058	LOC118362604	eukaryotic translation initiation factor 5-like
NC_068449.1	25.86508	25.870112	LOC127913629	uncharacterized LOC127913629
NC_068449.1	25.874919	25.886995	si:dkey-196h17.9	exocyst complex component 3-like protein
NC_068449.1	25.887178	25.897962	tnfaip2b	tumor necrosis factor%2C alpha-induced protein 2b
NC_068449.1	25.903086	25.926623	LOC118362609	exocyst complex component 3-like protein 4
NC_068449.1	25.948437	25.956292	LOC118362047	protein LBH-like
NC_068449.1	25.973766	25.988218	LOC118362178	protein AHNAK2-like
NC_068449.1	26.010939	26.016611	si:dkey-229e3.2	uncharacterized si:dkey-229e3.2
NC_068449.1	26.023332	26.029474	LOC118362613	cell division cycle-associated protein 4-like
NC_068449.1	26.031523	26.058039	LOC118362179	1-phosphatidylinositol 4%2C5-bisphosphate phosphodiesterase beta-1-like
NC_068449.1	26.083794	26.087707	crls1	cardiolipin synthase 1
NC_068449.1	26.087839	26.09611	mcm8	minichromosome maintenance 8 homologous recombination repair factor
NC_068449.1	26.096331	26.104707	LOC118362616	beta-soluble NSF attachment protein-like
NC_068449.1	26.104945	26.106482	LOC118362048	tribbles homolog 2-like
NC_068449.1	26.121003	26.139605	LOC118362617	cell division cycle 5-like protein
NC_068449.1	26.151471	26.158008	enpp4	ectonucleotide pyrophosphatase/phosphodiesterase 4
NC_068449.1	26.163483	26.173901999999998	LOC118362180	XK-related protein 6-like
NC_068449.1	26.183217	26.294459	LOC118362620	transmembrane protein KIAA1109 homolog
NC_068449.1	26.310218	26.35206	LOC118362622	leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2
NC_068449.1	26.35585	26.362553	LOC118362624	eukaryotic translation initiation factor 4E-like
NC_068449.1	26.381293	26.40699	metap1	methionyl aminopeptidase 1
